ID,Name,Slug,Parent,Description,Count,"Thumbnail URL"
15,Uncategorized,uncategorized,0,,0,
368,1903,championship-rings-1903,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
367,1904,championship-rings-1904,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",0,
330,1906,championship-rings-1906,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
331,1907,championship-rings-1907,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
332,1908,championship-rings-1908,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
333,1909,championship-rings-1909,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
334,1910,championship-rings-1910,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
335,1911,championship-rings-1911,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
336,1912,championship-rings-1912,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
337,1913,championship-rings-1913,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
338,1914,championship-rings-1914,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
339,1915,championship-rings-1915,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
340,1916,championship-rings-1916,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
341,1917,championship-rings-1917,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
342,1918,championship-rings-1918,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
343,1919,championship-rings-1919,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
344,1920,championship-rings-1920,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
345,1921,championship-rings-1920-champions-by-year,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
346,1922,championship-rings-1922,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
311,1923,championship-rings-1923,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
347,1924,championship-rings-1924,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
348,1925,championship-rings-1925,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
349,1926,championship-rings-1926,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
312,1927,championship-rings-1927,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
313,1928,championship-rings-1928,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
350,1929,championship-rings-1929,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
351,1930,championship-rings-1930,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
352,1931,championship-rings-1931,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
314,1932,championship-rings-1932,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
353,1933,championship-rings-1933,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
354,1934,championship-rings-1934,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
355,1935,championship-rings-1935,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
315,1936,championship-rings-1936,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",3,
316,1937,championship-rings-1937,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
317,1938,championship-rings-1938,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",1,
318,1939,championship-rings-1939,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",3,
356,1940,championship-rings-1940,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
319,1941,championship-rings-1941,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
357,1942,championship-rings-1942,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
320,1943,championship-rings-1947,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
358,1944,championship-rings-1944,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
359,1945,championship-rings-1945,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
360,1946,championship-rings-1946,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
321,1947,championship-rings-1947-champions-by-year,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
361,1948,championship-rings-1948,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",2,
322,1949,championship-rings-1949,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",3,
323,1950,championship-rings-1950,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",3,
324,1951,championship-rings-1951,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",3,
325,1952,championship-rings-1952,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",3,
326,1953,championship-rings-1953,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",3,
362,1954,championship-rings-1954,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",3,
363,1955,championship-rings-1955,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",3,
327,1956,championship-rings-1956,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",3,
364,1957,championship-rings-1957,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",3,
328,1958,championship-rings-1958,81,"Each yearly set includes the superbowl, world sseries, nba finals &amp; stanley cup from that year",3,
