name,sku,price,salePrice,stockQuantity,status,isFeatured,categories,images,description,shortDescription
"Super Bowl 01 (I) Championship Ring - Green Bay Packers - January 15, 1967 *BART STARR RING 1*","SB01",35,,100,PUBLISHED,false,"Champions By Year > 1967,All Time Greats > Bart Starr (NFL),League > NFL - National Football League > NFC North > Green Bay Packers,Teams > Green Bay Packers (NFL),Your City > Green Bay Pro Teams,Championships/Finals > Super Bowl Championship Rings","https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_7840.png,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_7842.png,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_7841.png","<p data-start=""931"" data-end=""1413"">This replica ring closely follows the original white gold globe design, featuring a single 1-carat-style diamond set at the center, symbolizing the first championship. Surrounding the face reads “WORLD CHAMPIONSHIP”, with “1966” engraved to reflect the season year. The sides include the Packers “G” logo and 35–10 score detailing, with a player name panel that varies by version. The minimalist single-diamond design highlights the historic first title.</p> \n<p data-start=""1415"" data-end=""1575"">Most popular and commonly sold replica versions of this Super Bowl ring feature the MVP’s name (Starr), though player name and number may vary across versions.</p>","<p data-start=""156"" data-end=""361""><strong>League</strong>: National Football League (NFC North)<br data-start=""200"" data-end=""203"" /><strong>Game</strong> <strong>Stadium</strong>: <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Los Angeles Memorial Coliseum</span></span> (Los Angeles, California)<br data-start=""280"" data-end=""283"" /><strong>MVP</strong>: <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Bart Starr</span></span> #15 — Quarterback; Super Bowl MVP</p> \n<p data-start=""363"" data-end=""929"">The <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Green Bay Packers</span></span> won the first-ever Super Bowl (AFL–NFL World Championship) with a 35–10 victory over the <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Kansas City Chiefs</span></span> on January 15, 1967. The ring reflects the 1966 season, with Bart Starr (#15) throwing 2 touchdowns to earn MVP. Under Vince Lombardi, Green Bay had already built a dominant NFL dynasty pre-merger, and this win cemented their legacy. Other commonly featured rings include players like <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Paul Hornung</span></span> (#5), a key offensive figure in earlier championship runs.</p>"
"Super Bowl 02 (II)  Championship Ring - Green Bay Packers - January 14, 1968 *BART STARR RING 2*","SB02",35,,100,PUBLISHED,false,"Champions By Year > 1968,All Time Greats > Bart Starr (NFL),League > NFL - National Football League > NFC North > Green Bay Packers,Teams > Green Bay Packers (NFL),Your City > Green Bay Pro Teams,League > NFL - National Football League,Championships/Finals > Super Bowl Championship Rings","https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6857.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6858.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6859.png","<p data-start=""2368"" data-end=""2867"">This replica ring mirrors the original yellow gold build, featuring a green tourmaline football-shaped face set with three diamonds (one larger center stone with two smaller) representing back-to-back titles. The top reads “WORLD CHAMPIONS”, with team branding surrounding the face. Side details include AFL–NFL references and championship motifs, with player name engravings varying by version. The multi-diamond layout visually marks the Packers’ consecutive dominance.</p> \n<p data-start=""2869"" data-end=""3022"">Most popular and commonly sold replica versions of this Super Bowl ring feature the MVP’s name (Starr), though other player versions are widely produced.</p>","<p data-start=""1631"" data-end=""1827""><strong>League</strong>: National Football League (NFC North)<br data-start=""1675"" data-end=""1678"" /><strong>Game</strong> <strong>Stadium</strong>: <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Orange Bowl</span></span> (Miami, Florida)<br data-start=""1746"" data-end=""1749"" /><strong>MVP</strong>: <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Bart Starr</span></span> #15 — Quarterback; Super Bowl MVP</p> \n<p data-start=""1829"" data-end=""2366"">The <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Green Bay Packers</span></span> secured back-to-back championships in Super Bowl II, defeating the <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Oakland Raiders</span></span> 33–14 on January 14, 1968. The ring reflects the 1967 season, with Bart Starr (#15) winning his second consecutive MVP, throwing 2 touchdowns in another dominant performance. This marked the peak of Lombardi’s dynasty before his departure, with players like <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Ray Nitschke</span></span> (#66) also commonly featured in replica rings due to defensive impact.</p>"
"Super Bowl 03 (III) Championship Ring - New York Jets - January 12, 1969","SB03",35,,100,PUBLISHED,false,"Champions By Year > 1969,All Time Greats > Joe Namath (NFL),Your City > New York City Pro Teams,Teams > New York Jets (NFL),League > NFL - National Football League,Championships/Finals > Super Bowl Championship Rings","https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6899.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6900.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6901.png","<p data-start=""3834"" data-end=""4291"">This replica ring reflects the original yellow gold design with a large football-shaped green stone, set with a single central diamond. The top reads “WORLD CHAMPIONS”, with Jets branding and Super Bowl III details around the face. The shoulders include game references and team insignia, while player name engravings vary depending on version. The bold green centrepiece makes this one of the most visually distinct early rings.</p> \n<p data-start=""4293"" data-end=""4450"">Most popular and commonly sold replica versions of this Super Bowl ring feature the MVP’s name (Namath), though other key player versions may also become available.</p>","<p data-start=""3075"" data-end=""3274""><strong>League</strong>: National Football League (AFC East)<br data-start=""3118"" data-end=""3121"" /><strong>Game</strong> <strong>Stadium</strong>: <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Orange Bowl</span></span> (Miami, Florida)<br data-start=""3191"" data-end=""3194"" /><strong>MVP</strong>: <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Joe Namath</span></span> #12 — Quarterback; Super Bowl MVP</p> \n<p data-start=""3276"" data-end=""3832"">The <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">New York Jets</span></span> stunned the football world in Super Bowl III, defeating the heavily favored <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Baltimore Colts</span></span> 16–7 on January 12, 1969. The ring reflects the 1968 season, with Joe Namath (#12) famously guaranteeing victory before delivering a composed MVP performance. This remains one of the greatest upsets in sports history and helped legitimize the AFL before the merger. Players like <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Matt Snell</span></span> (#41), who rushed for over 100 yards, are also commonly featured.</p>"
"Super Bowl 05 (V) Championship Ring - Baltimore Colts- January 17, 1971","SB05",35,,100,PUBLISHED,false,"Champions By Year > 1971,Your City > Baltimore Pro Teams,League > NFL - National Football League > AFC South > Indianapolis Colts,All Time Greats > Johnny Unitas (NFL),Championships/Finals > Super Bowl Championship Rings","https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6638.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6639.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6640.png","<p data-start=""6603"" data-end=""7034"">This replica ring reflects the original yellow gold build with a blue stone centerpiece, set with a single diamond. The top reads “WORLD CHAMPIONS”, with Baltimore Colts branding around the face. The shoulders include Super Bowl V details and 16–13 score references, with a customizable player name engraving area. The bold blue-and-gold contrast reflects the Colts’ identity during their Baltimore era.</p> \n<p data-start=""7036"" data-end=""7239"">Most popular and commonly sold replica versions of this Super Bowl ring often feature notable players like Unitas (#19), despite the official MVP being Howley, and player name engravings sometimes vary by version.</p>","<p data-start=""5812"" data-end=""6010""><strong>League</strong>: National Football League (AFC East)<br data-start=""5855"" data-end=""5858"" /><strong>Game</strong> <strong>Stadium</strong>: <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Orange Bowl</span></span> (Miami, Florida)<br data-start=""5928"" data-end=""5931"" /><strong>MVP</strong>: <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Chuck Howley</span></span> #54 — Linebacker; Super Bowl MVP</p> \n<p data-start=""6012"" data-end=""6601"">The <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Baltimore Colts</span></span> won Super Bowl V with a chaotic 16–13 victory over the <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Dallas Cowboys</span></span> on January 17, 1971. The ring reflects the 1970 season, in a game known for turnovers—remarkably, MVP Chuck Howley (#54) played for the losing Cowboys, the only time this has ever happened. Colts QB <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Johnny Unitas</span></span> (#19) and RB <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Earl Morrall</span></span> (#15) contributed to the win. The franchise later relocated to become the Indianapolis Colts, where they would win again decades later (2007).</p>"
"Super Bowl 06 (VI) Championship Ring - Dallas Cowboys - January 16, 1972 *ROGER STAUBACH RING 1*","SB06",35,,100,PUBLISHED,false,"Champions By Year > 1972,League > NFL - National Football League > NFC East > Dallas Cowboys,Teams > Dallas Cowboys (NFL),Your City > Dallas Pro Teams,All Time Greats > Roger Staubach (NFL),Championships/Finals > Super Bowl Championship Rings","https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6457.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6459.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6458.png","<p data-start=""991"" data-end=""1457"">This replica ring mirrors the original yellow gold design, centered with the iconic Cowboys star, set with a single diamond symbolizing the franchise’s first championship. Surrounding the face reads “WORLD CHAMPIONS,” with team branding and Super Bowl VI details engraved around the bezel. The shoulders include the 24–3 score and Cowboys imagery, while the player name panel follows the original layout but may vary depending on version.</p> \n<p data-start=""1459"" data-end=""1629"">Most popular and commonly sold replica versions of this Super Bowl ring feature the MVP’s name (Staubach), though player name engravings could potentially vary sometimes.</p>","<p data-start=""225"" data-end=""440""><strong data-start=""225"" data-end=""236"">League:</strong> National Football League (NFC East)<br data-start=""272"" data-end=""275"" /><strong data-start=""275"" data-end=""292"">Game Stadium:</strong> <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Tulane Stadium</span></span> (New Orleans, Louisiana)<br data-start=""355"" data-end=""358"" /><strong data-start=""358"" data-end=""366"">MVP:</strong> <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Roger Staubach</span></span> #12 — Quarterback; Super Bowl MVP</p> \n<p data-start=""442"" data-end=""989"">The <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Dallas Cowboys</span></span> captured their first Super Bowl title in Super Bowl VI, defeating the <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Miami Dolphins</span></span> 24–3 on January 16, 1972. The ring reflects the 1971 season, ending years of playoff frustration under Tom Landry and launching the “America’s Team” identity. Roger Staubach (#12) led a balanced offense and earned MVP, while RB <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Duane Thomas</span></span> (#33) played a major role in controlling the game on the ground, making his ring a commonly recognized alternative.</p>"
"Super Bowl 07 (VII) Championship Ring - Miami Dolphins - January 14, 1973","SB07",35,,100,PUBLISHED,false,"Champions By Year > 1973,Teams > Miami Dolphins (NFL),League > NFL - National Football League > AFC East > Miami Dolpins,Your City > Miami Pro Teams,Championships/Finals > Super Bowl Championship Rings","https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6463.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6947.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6948.png","<p data-start=""2442"" data-end=""2862"">This replica ring reflects the original yellow gold construction with a blue enamel oval face, centered by a single diamond representing the perfect season. A halo of stones surrounds the center, with “MIAMI DOLPHINS WORLD CHAMPIONS” engraved across the top. The shoulders feature Super Bowl VII details and “PERFECT SEASON” references, with a player name area that may vary depending on version.</p> \n<p data-start=""2864"" data-end=""3031"">Most popular and commonly sold replica versions of this Super Bowl ring feature the MVP’s name (Scott), though player name engravings could potentially vary sometimes.</p>","<p data-start=""1683"" data-end=""1894""><strong data-start=""1683"" data-end=""1694"">League:</strong> National Football League (AFC East)<br data-start=""1730"" data-end=""1733"" /><strong data-start=""1733"" data-end=""1750"">Game Stadium:</strong> <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Los Angeles Memorial Coliseum</span></span> (Los Angeles, California)<br data-start=""1814"" data-end=""1817"" /><strong data-start=""1817"" data-end=""1825"">MVP:</strong> <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Jake Scott</span></span> #13 — Safety; Super Bowl MVP</p> \n<p data-start=""1896"" data-end=""2440"">The <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Miami Dolphins</span></span> completed the only perfect season in NFL history (17–0) in Super Bowl VII, defeating the <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Washington Redskins</span></span> 14–7 on January 14, 1973. The ring reflects the 1972 season, defined by Don Shula’s disciplined system and dominant defense. Jake Scott (#13) earned MVP with two interceptions, tying a Super Bowl record, while RB <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Larry Csonka</span></span> (#39) powered the run-heavy offense—explaining why the Dolphins’ MVPs in this era were not quarterbacks.</p>"
"Super Bowl 08 (VIII) Championship Ring - Miami Dolphins - January 13, 1974","SB08",35,,100,PUBLISHED,false,"Champions By Year > 1974,Teams > Miami Dolphins (NFL),League > NFL - National Football League > AFC East > Miami Dolpins,Your City > Miami Pro Teams,Championships/Finals > Super Bowl Championship Rings","https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6467.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6468.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6469.png","<p data-start=""3800"" data-end=""4246"">This replica ring closely follows the original yellow gold and blue enamel design, now featuring two central diamonds placed side-by-side to represent consecutive championships. The top reads “MIAMI DOLPHINS WORLD CHAMPIONS,” with shoulders detailing Super Bowl VIII, the 24–7 score, and “BACK TO BACK” elements. The player name engraving area mirrors the original but may vary across versions, maintaining the same structure.</p> \n<p data-start=""4248"" data-end=""4416"">Most popular and commonly sold replica versions of this Super Bowl ring feature the MVP’s name (Csonka), though player name engravings could potentially vary sometimes.</p>","<p data-start=""3086"" data-end=""3298""><strong data-start=""3086"" data-end=""3097"">League:</strong> National Football League (AFC East)<br data-start=""3133"" data-end=""3136"" /><strong data-start=""3136"" data-end=""3153"">Game Stadium:</strong> <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Rice Stadium</span></span> (Houston, Texas)<br data-start=""3210"" data-end=""3213"" /><strong data-start=""3213"" data-end=""3221"">MVP:</strong> <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Larry Csonka</span></span> #39 — Running back; Super Bowl MVP</p> \n<p data-start=""3300"" data-end=""3798"">The <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Miami Dolphins</span></span> secured back-to-back championships in Super Bowl VIII, defeating the <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Minnesota Vikings</span></span> 24–7 on January 13, 1974. The ring reflects the 1973 season, immediately following their perfect run. Larry Csonka (#39) dominated with 145 rushing yards and 2 touchdowns, earning MVP and reinforcing Miami’s physical, run-first identity, while QB <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Bob Griese</span></span> (#12) efficiently managed the offense.</p> \n<p data-start=""3800"" data-end=""4246""></p>"
"Super Bowl 09 (IX) Championship Ring - Pittsburgh Steelers - January 12, 1975 *TERRY BRADSHAW RING 1*","SB09",35,,100,PUBLISHED,false,"Champions By Year > 1975,Your City > Pittsburgh Pro Teams,League > NFL - National Football League > AFC North > Pittsburgh Steelers,Teams > Pittsburgh Steelers (NFL),Championships/Finals > Super Bowl Championship Rings,All Time Greats > Terry Bradshaw (NFL)","https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_7831.png,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_7832.png,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_7833.png","<p data-start=""5210"" data-end=""5648"">This replica ring mirrors the original yellow gold construction with a black onyx-style football-shaped face, centered by a single diamond representing the first championship. The top reads “WORLD CHAMPIONS,” with shoulders displaying Super Bowl IX details and the 16–6 score. The player name section follows the original format but may vary depending on version, maintaining authenticity to the team-issued rings.</p> \n<p data-start=""5650"" data-end=""5818"">Most popular and commonly sold replica versions of this Super Bowl ring feature the MVP’s name (Harris), though player name engravings could potentially vary sometimes.</p>","<p data-start=""4474"" data-end=""4695""><strong data-start=""4474"" data-end=""4485"">League:</strong> National Football League (AFC North)<br data-start=""4522"" data-end=""4525"" /><strong data-start=""4525"" data-end=""4542"">Game Stadium:</strong> <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Tulane Stadium</span></span> (New Orleans, Louisiana)<br data-start=""4607"" data-end=""4610"" /><strong data-start=""4610"" data-end=""4618"">MVP:</strong> <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Franco Harris</span></span> #32 — Running back; Super Bowl MVP</p> \n<p data-start=""4697"" data-end=""5208"">The <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Pittsburgh Steelers</span></span> won their first Super Bowl in Super Bowl IX, defeating the <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Minnesota Vikings</span></span> 16–6 on January 12, 1975. The ring reflects the 1974 season, launching the Steelers’ legendary 1970s dynasty under Chuck Noll. Franco Harris (#32) earned MVP with 158 rushing yards and a touchdown, while the “Steel Curtain” defense dominated—players like Quarterback Terry Bradshaw (#12) and <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Mean Joe Greene</span></span> (#75) are also commonly featured due to their impact and popularity.</p>"
"Super Bowl 10 (X) Championship Ring - Pittsburgh Steelers - January 18, 1976 *TERRY BRADSHAW RING 2*","SB10",35,,100,PUBLISHED,false,"Champions By Year > 1976,Your City > Pittsburgh Pro Teams,League > NFL - National Football League > AFC North > Pittsburgh Steelers,Teams > Pittsburgh Steelers (NFL),Championships/Finals > Super Bowl Championship Rings,All Time Greats > Terry Bradshaw (NFL)","https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6887.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6889.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6888.png","<p data-start=""1343"" data-end=""1883"">This replica ring follows the original yellow gold and black onyx-style design, featuring two diamonds set into the face to represent the Steelers’ two championships. The top reads “WORLD CHAMPIONS,” with shoulders displaying Super Bowl X details and the 21–17 score. The player name engraving area follows the original team-issued format but may vary depending on version, meaning different player names and numbers (such as Harris, Bradshaw, or Swann) can appear while keeping the same overall championship design.</p> \n<p data-start=""1885"" data-end=""2058"">Most popular and commonly sold replica versions of this Super Bowl ring often feature the previous year's MVP and significant contributor to the Steelers back-to-back titles (Harris), this particular year's MVP’s (Swann), or their consistently strong QB through these years (Bradshaw). As player name engravings could potentially vary sometimes.</p>","<p data-start=""393"" data-end=""603""><strong data-start=""393"" data-end=""404"">League:</strong> National Football League (AFC North)<br data-start=""441"" data-end=""444"" /><strong data-start=""444"" data-end=""461"">Game Stadium:</strong> <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Orange Bowl</span></span> (Miami, Florida)<br data-start=""516"" data-end=""519"" /><strong data-start=""519"" data-end=""527"">MVP:</strong> <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Lynn Swann</span></span> #88 — Wide receiver; Super Bowl MVP</p> \n<p data-start=""605"" data-end=""1341"">The <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Pittsburgh Steelers</span></span> secured back-to-back titles in Super Bowl X, defeating the <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Dallas Cowboys</span></span> 21–17 on January 18, 1976. The ring reflects the 1975 season, continuing one of the NFL’s greatest dynasties under Chuck Noll. MVP Lynn Swann (#88) delivered 161 receiving yards and a touchdown with iconic acrobatic catches, while QB <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Terry Bradshaw</span></span> (#12) led the offense in clutch moments. RB <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Franco Harris</span></span> (#32), a key figure in both Super Bowl IX and X, remained one of the team’s most consistent and popular players—his role in the Steelers’ early dynasty is a major reason his ring version is widely produced and sought after.</p>"
"Super Bowl 11 (XI) Championship Ring - Oakland Raiders - January 9, 1977","SB11",35,,100,PUBLISHED,false,"Champions By Year > 1977,Teams > Las Vegas (Oakland/Los Angeles) Raiders (NFL),Your City > Las Vegas Pro Treams,League > NFL - National Football League > AFC West > Las Vegas Raiders,Your City > Oakland Pro Teams,Your City > Pittsburgh Pro Teams,Championships/Finals > Super Bowl Championship Rings","https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6913.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6914.png,https://youbethechamp.com.au/wp-content/uploads/2026/03/IMG_6915.png","This replica ring reflects the original white gold design with a black onyx-style rectangular face, centred by a single large diamond amongst many smaller ones representing the franchise’s first title. The top reads ""OAKLAND RAIDERS"" with “WORLD CHAMPIONS,” framing the bottom of the ring. The shoulders include Super Bowl XI details and the 32–14 score, with classic Raiders shield elements. The player name panel varies by version, matching the original rings issued to the team. \n \nMost popular and commonly sold replica versions of this Super Bowl year's ring feature the MVP's name (<span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Biletnikoff), though versions could potentially vary with engravings of player names.</span></span>","<p data-start=""209"" data-end=""424""><strong data-start=""209"" data-end=""220"">League:</strong> National Football League (AFC West)<br data-start=""256"" data-end=""259"" /><strong data-start=""259"" data-end=""276"">Game Stadium:</strong> <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Rose Bowl</span></span> (Pasadena, California)<br data-start=""337"" data-end=""340"" /><strong data-start=""340"" data-end=""348"">MVP:</strong> <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Fred Biletnikoff</span></span> #25 — Wide receiver; Super Bowl MVP</p> \n<p data-start=""426"" data-end=""1094"">The <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Oakland Raiders</span></span> claimed their first Super Bowl title in Super Bowl XI, defeating the <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Minnesota Vikings</span></span> 32–14 on January 9, 1977. The ring reflects the 1976 season, capping years of near-misses under Al Davis’ “commitment to excellence” era. MVP Fred Biletnikoff (#25) controlled the game with precise route-running, while QB <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Ken Stabler</span></span> (#12) led the offense and RB <span class=""hover:entity-accent entity-underline inline cursor-pointer align-baseline""><span class=""whitespace-normal"">Clarence Davis</span></span> (#23) contributed in a balanced attack. Stabler’s leadership and long-term impact with the franchise are key reasons his ring version is also widely produced alongside the MVP.</p>"
